faa,name,lat,lon,alt,dst
04G,Lansdowne Airport,41.1304722,-80.6195833,1044,A
06A,Moton Field Municipal Airport,32.4605722,-85.6800278,264,A
06C,Schaumburg Regional,41.9893408,-88.1012428,801,A
06N,Randall Airport,41.431912,-74.3915611,523,A
09J,Jekyll Island Airport,31.0744722,-81.4277778,11,A
0A9,Elizabethton Municipal Airport,36.3712222,-82.1734167,1593,A
0G6,Williams County Airport,41.4673056,-84.5067778,730,A
0G7,Finger Lakes Regional Airport,42.8835647,-76.7812318,492,A
0P2,Shoestring Aviation Airfield,39.7948244,-76.6471914,1000,U
0S9,Jefferson County Intl,48.053808600000004,-122.8106436,108,A
0W3,Harford County Airport,39.5668378,-76.2024028,409,A
10C,Galt Field Airport,42.4028889,-88.3751111,875,U
17G,Port Bucyrus-Crawford County Airport,40.7815556,-82.9748056,1003,A
19A,Jackson County Airport,34.1758638,-83.5615972,951,U
1A3,Martin Campbell Field Airport,35.0158056,-84.3468333,1789,A
1B9,Mansfield Municipal,42.0001331,-71.1967714,122,A
1C9,Frazier Lake Airpark,54.013333333333335,-124.76833333333333,152,A
1CS,Clow International Airport,41.6959744,-88.1292306,670,U
1G3,Kent State Airport,41.1513889,-81.4151111,1134,A
1G4,Grand Canyon West Airport,35.899904,-113.815674,4813,A
1H2,Effingham Memorial Airport,39.07,-88.534,585,A
1OH,Fortman Airport,40.5553253,-84.3866186,885,U
1RL,Point Roberts Airpark,48.9797222,-123.0788889,10,A
23M,Clarke CO,32.0517,-88.4434,320,A
24C,Lowell City Airport,42.95392,-85.3439058,681,A
24J,Suwannee County Airport,30.300125,-83.0246944,104,A
25D,Forest Lake Airport,45.2477456,-92.9943853,925,A
29D,Grove City Airport,41.1460278,-80.16775,1371,A
2A0,Mark Anton Airport,35.48625,-84.9310833,718,A
2B2,Plum Island Airport,42.7953611,-70.8394444,11,A
2G2,Jefferson County Airpark,40.3602179,-80.7008742,1196,A
2G9,Somerset County Airport,40.0388708,-79.0149951,2275,A
2H0,Shelby County Airport,39.410556,-88.845556,550,A
2J9,Quincy Municipal Airport,30.5978708,-84.557425,225,A
369,Atmautluak Airport,60.866667,-162.273056,18,A
36U,Heber City Municipal Airport,40.4818056,-111.4288056,5637,A
38W,Lynden Airport,48.9558961,-122.4581183,106,A
3D2,Ephraim-Gibraltar Airport,45.1354167,-87.1879444,773,A
3G3,Wadsworth Municipal,41.0031572,-81.7564401,974,A
3G4,Ashland County Airport,40.9029722,-82.2556389,1206,A
3J1,Ridgeland Airport,32.4934167,-80.99175,79,A
3W2,Put-in-Bay Airport,41.3521,-82.497,595,A
40J,Perry-Foley Airport,30.0692778,-83.5805833,44,A
41N,Braceville Airport,41.2111675,-80.9692572,900,A
47A,Cherokee County Airport,34.3122175,-84.4221556,1219,A
49A,Gilmer County Airport,34.6282222,-84.5265833,1486,A
49X,Chemehuevi Valley,34.528889,-114.431971,638,A
4A4,Polk County Airport - Cornelius Moore Field,34.0186944,-85.1464722,974,A
4A7,Clayton County Tara Field,33.389099,-84.332397,874,A
4A9,Isbell Field Airport,34.4736944,-85.7213889,877,A
4B8,Robertson Field,41.6893333,-72.8646944,202,A
4G0,Pittsburgh-Monroeville Airport,40.4526389,-79.7749167,1187,A
4G2,Hamburg Inc Airport,42.7008925,-78.9147569,751,A
4G4,Youngstown Elser Metro Airport,40.9617953,-80.6773264,1070,A
4I7,Putnam County Airport,39.6335556,-86.8138056,842,U
4U9,Dell Flight Strip,44.7357483,-112.7200133,6007,A
52A,Madison GA Municipal Airport,33.612125,-83.4604444,694,A
54J,DeFuniak Springs Airport,30.7311111,-86.1537778,289,A
55J,Fernandina Beach Municipal Airport,30.6118333,-81.4611944,16,A
55S,Packwood,46.3625,-121.4067,1057,A
57C,East Troy Municipal Airport,42.7971667,-88.3726111,860,A
5B2,Saratoga County Airport,43.050722,-73.861638,433,A
60J,Ocean Isle Beach Airport,33.9085056,-78.4366722,32,U
6A2,Griffin-Spalding County Airport,33.2269722,-84.2749444,958,A
