mathematicians,occupation,country of citizenship,place of birth,date of death,educated at,employer,place of death,member of,employer,doctoral advisor,"languages spoken, written or signed",academic degree,doctoral student,manner of death,position held,field of work,award received,Erdős number,instance of,sex or gender,approx. date of birth,day of birth,month of birth,year of birth,approx. date of death,day of death,month of death,year of death
Roger Joseph Boscovich,"['physicist', 'astronomer', 'mathematician', 'philosopher', 'diplomat', 'poet', 'theologian', 'priest', 'polymath', 'historian', 'scientist', 'writer', 'cleric', 'university teacher']",['Republic of Ragusa'],"Dubrovnik, Republic of Ragusa",13 February 1787,['Pontifical Gregorian University'],['Pontifical Gregorian University'],"['Milan', 'Habsburg Empire']","['Royal Society', 'Russian Academy of Sciences', 'Russian Academy of Sciences']",['Pontifical Gregorian University'],,['Latin'],,,,,,['Fellow of the Royal Society'],,['human'],['male'],False,18,May,1711,False,13,February,1787
Emma Previato,['mathematician'],"['United States of America', 'Italy']",Badia Polesine,,"['Harvard University', 'University of Padua']","['Boston University', 'University of Padua']",,['American Mathematical Society'],"['Boston University', 'University of Padua']",['David Mumford'],,,,,,,,,['human'],['female'],False,,,1952,False,,,
Feodor Deahna,['mathematician'],,,1844,,,,,,,,,,,,['differential geometry'],,,['human'],['male'],False,,,1815,False,,,1844
Denis Henrion,"['publisher', 'mathematician']",['France'],,1640,,,,,,,['French'],,,,,,,,['human'],['male'],True,,,1500,False,,,1640
Henri Delannoy,"['mathematician', 'historian', 'military personnel']",['France'],Bourbonne-les-Bains,5 February 1915,['École Polytechnique'],,['Guéret'],,,,,,,,,,,,['human'],['male'],False,28,September,1833,False,5,February,1915
John Hymers,['mathematician'],,Ormesby,7 April 1887,"[""St John's College""]",,['Brandesburton'],['Royal Society'],,,,,,,,,['Fellow of the Royal Society'],,['human'],['male'],False,20,July,1803,False,7,April,1887
Alexander Grothendieck,"['mathematician', 'university teacher']","['France', '1971', '1971', 'statelessness', 'statelessness']",Berlin,13 November 2014,"['University of Montpellier', '1945', '1948', 'École Normale Supérieure', '1948', '1949', 'irregular student', 'Nancy-Université', '1949', '1953']","['CNRS', '1950', '1958', 'Institut des Hautes Études Scientifiques', '1959', '1970', 'Collège de France', '1970', '1972', 'University of Paris-Sud', '1972', '1973', 'University of Montpellier', '1973', '1984', 'CNRS', '1984', '1988']",['Saint-Girons'],['American Academy of Arts and Sciences'],"['CNRS', '1950', '1958', 'Institut des Hautes Études Scientifiques', '1959', '1970', 'Collège de France', '1970', '1972', 'University of Paris-Sud', '1972', '1973', 'University of Montpellier', '1973', '1984', 'CNRS', '1984', '1988']","['Laurent Schwartz', 'Jean Dieudonné']",['French'],,,,,"['algebraic geometry', 'functional analysis']","['Fields Medal', '1966', 'Émile Picard Medal', '1977', 'Crafoord Prize', '1988']",['5±0'],['human'],['male'],False,28,March,1928,False,13,November,2014
Theodore James Courant,['mathematician'],['United States of America'],,,"['Reed College', 'University of California, Berkeley']",,,,,,,,,,,,,,['human'],['male'],False,,,,False,,,
Ljubomir Chakaloff,['mathematician'],,,11 September 1963,['Sofia University'],,['Sofia'],['Bulgarian Academy of Sciences'],,"['Ernesto Pascal', '1925']",,['Doctor of Sciences in Physics and Mathematics'],,,,['mathematics'],,,['human'],['male'],False,18,February,1886,False,11,September,1963
Earnshaw Cook,[''],,,11 November 1987,,['Johns Hopkins University'],,,['Johns Hopkins University'],,,,,,,,,,['human'],['male'],False,28,March,1900,False,11,November,1987
Nikolay Bogolyubov,"['mathematician', 'theoretical physicist', 'inventor', 'academic', 'non-fiction writer', 'physicist']","['Soviet Union', 'Russia', 'Ukraine']",Nizhny Novgorod,13 February 1992,,"['Taras Shevchenko National University of Kyiv', '1934', '1959', 'Steklov Institute of Mathematics', '1950', 'Moscow State University', '1950', 'Joint Institute for Nuclear Research', '1956', 'Bogolyubov Institute for Theoretical Physics', '1965', '1973']","['Moscow', 'Russia']","['German Academy of Sciences at Berlin', '1966', 'National Academy of Sciences of Ukraine', 'National Academy of Sciences', '1959', 'Russian Academy of Sciences', 'Academy of Sciences of the USSR', 'Heidelberg Academy for Sciences and Humanities', '1969', 'corresponding member', 'American Academy of Arts and Sciences', '1960', 'Bulgarian Academy of Sciences', '1961', 'Polish Academy of Sciences', '1962', 'Hungarian Academy of Sciences', '1970', 'Indian National Science Academy', '1983']","['Taras Shevchenko National University of Kyiv', '1934', '1959', 'Steklov Institute of Mathematics', '1950', 'Moscow State University', '1950', 'Joint Institute for Nuclear Research', '1956', 'Bogolyubov Institute for Theoretical Physics', '1965', '1973']",['Nikolay Mitrofanovich Krylov'],['Russian'],['Doctor of Sciences in Physics and Mathematics'],,,['member of the Supreme Soviet of the Soviet Union'],['mathematics'],"['State Stalin Prize', '1947', 'USSR State Prize', '1984', 'Order of Lenin', '19 September 1953', 'Hero of Socialist Labour', '13 March 1969', 'Order of the October Revolution', '20 August 1984', 'Order of the Badge of Honour', '1 October 1944', 'Order of the Red Banner of Labour', '23 January 1948', 'Lomonosov Gold Medal', '1984', 'Helmholtz Medal', '1969', 'Max Planck Medal', '1973', 'Honored Scientist of Ukraine', 'Dannie Heineman Prize for Mathematical Physics', '1966', 'Dirac Prize (ICTP)', '1992', 'Lenin Prize', '1958', 'Order of Lenin', '20 August 1959', 'Order of Lenin', '29 April 1967', 'Order of Lenin', '13 March 1969', '402006', '""Hammer and Sickle"" gold medal', '13 March 1969', '12302', 'Order of Lenin', '17 September 1975', 'Order of Lenin', '20 August 1979', '432633', 'Hero of Socialist Labour', '20 August 1979', '""Hammer and Sickle"" gold medal', '20 August 1979', '152', 'Order of the Red Banner of Labour', '4 January 1954', 'Order of the Badge of Honour', '4 November 1944', 'Q4335888', '1969', 'State Stalin Prize', '1953', 'Q19910782', '1957', 'Q4377118', '1989', 'Franklin Medal', '1974', 'Q28664599', '1981']",,['human'],['male'],False,21,August,1909,False,13,February,1992
Henry W. Gould,['mathematician'],['United States of America'],Portsmouth,,,['West Virginia University'],,,['West Virginia University'],,,,,,,,,,['human'],['male'],False,26,August,1928,False,,,
C. S. Seshadri,['mathematician'],['India'],,,"['University of Mumbai', 'University of Madras', 'Tata Institute of Fundamental Research']",['Harvard University'],,"['Royal Society', 'American Mathematical Society', 'National Academy of Sciences', 'Indian Academy of Sciences']",['Harvard University'],['K. S. Chandrasekharan'],,,,,,,"['Fellow of the Royal Society', 'H K Firodia awards', '2008', 'Shanti Swarup Bhatnagar Prize for Science and Technology', '1972', 'Padma Bhushan in science & engineering', 'Srinivasa Ramanujan Medal', '1985']",['3±0'],['human'],['male'],False,29,February,1932,False,,,
George F. Pinder,"['civil engineer', 'engineer']",['United States of America'],,,,,,['National Academy of Engineering'],,,,,,,,,,,['human'],['male'],False,,,,False,,,
Roman Holowinsky,['mathematician'],['United States of America'],,,,,,,,['Henryk Iwaniec'],,,,,,['number theory'],,,['human'],['male'],False,26,July,1979,False,,,
Johannes Hudde,"['mathematician', 'politician']",['Dutch Republic'],Amsterdam,15 April 1704,['Leiden University'],,['Amsterdam'],,,['Frans van Schooten'],['Latin'],,,,['Mayor of Amsterdam'],['mathematics'],,,['human'],['male'],False,23,April,1628,False,15,April,1704
Morris Kline,"['mathematician', 'historian of mathematics']",['United States of America'],Brooklyn,10 June 1992,['New York University'],['New York University'],['Brooklyn'],,['New York University'],,['English'],,,,,['mathematics'],['John Simon Guggenheim Memorial Foundation Fellowship'],,['human'],['male'],False,1,May,1908,False,10,June,1992
Thomas Wolff,"['mathematician', 'university teacher']",['United States of America'],New York City,31 July 2000,"['Harvard University', 'University of California, Berkeley']","['New York University', 'University of California, Berkeley', 'University of Washington', 'University of Chicago']",,,"['New York University', 'University of California, Berkeley', 'University of Washington', 'University of Chicago']",,,,,,,['mathematical analysis'],"['Salem Prize', '1985']",['2±0'],['human'],['male'],False,14,July,1954,False,31,July,2000
Joseph Lipman,"['mathematician', 'university teacher']",['Canada'],Toronto,,['Harvard University'],,,['American Mathematical Society'],,,,,,,,,,['3±0'],['human'],['male'],False,15,June,1938,False,,,
John Fox (statistician),"['statistician', 'author']",,,,"['University College London', 'Imperial College London']",,,,,,,,,,,,,,['human'],['male'],False,25,April,1946,False,,,
Martin Bridson,"['mathematician', 'university teacher']",['United Kingdom'],Douglas,,['Hertford College'],['Magdalen College'],,"['Royal Society', '2016', 'American Mathematical Society']",['Magdalen College'],['Karen Vogtmann'],,,,,,,,['3±0'],['human'],['male'],False,,,1964,False,,,
Matthew Stewart (mathematician),['mathematician'],,,1785,"['University of Edinburgh', 'University of Glasgow']",,,"['Royal Society', 'Royal Society of Edinburgh']",,,,,,,,,['Fellow of the Royal Society'],,['human'],['male'],False,,,1717,False,,,1785
Uriel Frisch,"['mathematician', 'physicist']",['France'],Agen,,"['University of Paris', 'École Normale Supérieure']",,,['French Academy of Sciences'],,,,,,,,,,['3±0'],['human'],['male'],False,10,December,1940,False,,,
Gábor Korchmáros,['mathematician'],['Hungary'],,,,,,,,,,,,,,,"['Euler Medal', '2008']",,['human'],['male'],True,,,1900,False,,,
Dionigi Galletto,['mathematician'],"['Italy', 'Kingdom of Italy']","Monasterolo di Savigliano, Kingdom of Italy",25 September 2011,['University of Padua'],,"['Turin', 'Italy']","['Lincean Academy', 'Serbian Academy of Sciences and Arts', '2 November 2006', '25 September 2011', 'foreign member']",,,['Italian'],,,,,,,,['human'],['male'],False,26,January,1932,False,25,September,2011
Quirico Filopanti,['mathematician'],['Kingdom of Italy'],Budrio,18 December 1894,,,['Bologna'],,,,['Italian'],,,,,,,,['human'],['male'],False,20,April,1812,False,18,December,1894
Jeffery J. Leader,[''],,,,"['Syracuse University', 'Brown University']",,,,,,,,,,,,,,['human'],['male'],False,,,,False,,,
Thomas Rudd,"['mathematician', 'occultist', 'stage magician']",,,1656,,,,,,,,,,,,,,,['human'],['male'],False,,,1583,False,,,1656
Elon Lindenstrauss,"['mathematician', 'educator', 'university teacher']",['Israel'],"Jerusalem, Israel",,['Hebrew University of Jerusalem'],['Princeton University'],,['Israel Academy of Sciences and Humanities'],['Princeton University'],['Benjamin Weiss'],,,,,,,"['Fields Medal', '2010', 'Blumenthal Award', '2001', 'Fermat Prize', '2009', 'Salem Prize', '2003']",['3±0'],['human'],['male'],False,1,August,1970,False,,,
Yitang Zhang,['mathematician'],"['United States of America', ""People's Republic of China"", '1955']",Pinghu,,"['Peking University', 'Purdue University']",['University of New Hampshire'],,,['University of New Hampshire'],['Tzuong-Tsieng Moh'],,,,,,['number theory'],"['Cole Prize in Number Theory', 'Ostrowski Prize', '2013', 'Rolf Schock Prize in Mathematics', '2014', 'MacArthur Fellowship']",,['human'],['male'],False,,,1955,False,,,
Idris Assani,[''],"['United States of America', 'Benin']",,,,['University of North Carolina at Chapel Hill'],,['American Mathematical Society'],['University of North Carolina at Chapel Hill'],,,,,,,,,['2±0'],['human'],['male'],False,,,,False,,,
Peter Redford Scott Lang,['mathematician'],,,,,,,,,,,,,,,,,,['human'],['male'],False,,,,False,,,
James Stirling (mathematician),['mathematician'],['United Kingdom'],Stirling,5 December 1770,"['Balliol College', 'University of Glasgow']",,['Edinburgh'],"['Royal Society', 'Prussian Academy of Sciences']",,,['Latin'],,,,,['combinatorics'],['Fellow of the Royal Society'],,['human'],['male'],False,,May,1692,False,5,December,1770
Étienne Pardoux,['mathematician'],['France'],,,,,,,,,['French'],,,,,,,,['human'],['male'],False,,,1948,False,,,
Anadi Sankar Gupta,['mathematician'],['India'],Barisal,14 June 2012,"['University of Calcutta', 'Indian Institute of Technology Kharagpur', 'Presidency University, Kolkata']",,['Kolkata'],"['Indian National Science Academy', 'The National Academy of Sciences, India']",,,,,,,,,"['Shanti Swarup Bhatnagar Prize for Science and Technology', '1972']",,['human'],['male'],False,1,November,1932,False,14,June,2012
Patrick Brosnan,['mathematician'],['United States of America'],Philadelphia,,['University of Chicago'],,,,,['Spencer Bloch'],,,,,,,,,['human'],['male'],False,,,1968,False,,,
Edward Vermilye Huntington,"['mathematician', 'physicist', 'university teacher']",['United States of America'],Clinton,25 November 1952,['Harvard University'],['Harvard University'],['Cambridge'],['American Academy of Arts and Sciences'],['Harvard University'],,['English'],,,,,,,,['human'],['male'],False,26,April,1874,False,25,November,1952
David Christiani,"['mathematician', 'philosopher', 'theologian', 'university teacher']",['Germany'],Gryfice,13 February 1688,,"['University of Marburg', 'University of Giessen']",,,"['University of Marburg', 'University of Giessen']",,['German'],,,,,,,,['human'],['male'],False,25,December,1610,False,13,February,1688
Yvette Kosmann-Schwarzbach,['mathematician'],['France'],,,,,,,,['André Lichnerowicz'],['French'],,,,,,,,['human'],['female'],False,,,1941,False,,,
