Line,Host growth rate (d-1),PO4 conc (uM),Repeat,Latent period (days),Burst size (phages per cell),k,Adsorption constant (k),Phage Productivity (d-1),Host growth rate/Phage growth rate," (anything >1 tilts toward host survival, anything < 1 toward phage survival)"
1,0.25,0.1,1,0.5,1.6,5.6,1.344E-08,0.055372134,4.514906366,
2,0.25,0.1,2,0.541666667,1.7,5.1,1.224E-08,0.059327072,4.213927868,
3,0.25,0.1,3,0.5,1.52,5.2,1.248E-08,0.042606132,5.867699923,
7,0.25,1,1,0.416666667,3.92,5.2,1.248E-08,0.316020359,0.791088273,
8,0.25,1,2,0.375,4.12,5.4,1.296E-08,0.356568828,0.701126907,
9,0.25,1,3,0.416666667,3.4,5.2,1.248E-08,0.257544189,0.970707206,
13,0.25,5,1,0.333333333,5.8,5.3,1.272E-08,0.551571967,0.453250011,
14,0.25,5,2,0.416666667,6.2,5.3,1.272E-08,0.583423871,0.428504921,
15,0.25,5,3,0.416666667,8.8,5.4,1.296E-08,0.898058137,0.278378414,
19,0.25,10,1,0.333333333,12.8,5.4,1.296E-08,1.396643279,0.179000611,
20,0.25,10,2,0.333333333,14.8,5.4,1.296E-08,1.635118791,0.15289409,
21,0.25,10,3,0.333333333,16.21,5.5,1.32E-08,1.836637435,0.136118319,
25,0.25,25,1,0.25,19.287,5.3,1.272E-08,2.177468079,0.114812246,
26,0.25,25,2,0.291666667,20.123,5.3,1.272E-08,2.25244697,0.110990404,
27,0.25,25,3,0.25,17.89,5.2,1.248E-08,1.972601242,0.126736207,
31,0.25,50,1,0.208333333,28.16,5,0.000000012,3.087704787,0.08096629,
32,0.25,50,2,0.25,26.12,5,0.000000012,2.824496304,0.088511357,
33,0.25,50,3,0.25,21.55,5.1,1.224E-08,2.355508624,0.10613419,
37,0.4,0.1,1,0.416666667,10.07,5.9,1.416E-08,1.065408449,0.375442864,
38,0.4,0.1,2,0.458333333,11.7,6.1,1.464E-08,1.279556521,0.312608309,
39,0.4,0.1,3,0.458333333,12.52,6.4,1.536E-08,1.447339387,0.27636918,
43,0.4,1,1,0.416666667,14.32,6.4,1.536E-08,1.708280571,0.234153573,
44,0.4,1,2,0.375,24.32,6.3,1.512E-08,3.0137816,0.132723619,
45,0.4,1,3,0.416666667,19.43,6.2,1.488E-08,2.298534419,0.174023933,
49,0.4,5,1,0.333333333,25.78,6,1.44E-08,3.104923416,0.128827654,
50,0.4,5,2,0.333333333,36.52,6,1.44E-08,4.458431464,0.089717651,
51,0.4,5,3,0.333333333,28.48,6,1.44E-08,3.445190802,0.116103874,
55,0.4,10,1,0.333333333,52.8,5.9,1.416E-08,6.401615816,0.062484225,
56,0.4,10,2,0.25,44.18,5.8,1.392E-08,5.425419824,0.073727013,
57,0.4,10,3,0.291666667,46.02,6,1.44E-08,5.753139711,0.069527253,
61,0.4,25,1,0.25,49.807,6.2,1.488E-08,6.557204907,0.061001601,
62,0.4,25,2,0.291666667,58.52,6.1,1.464E-08,7.477509013,0.05349375,
63,0.4,25,3,0.25,61.89,6.2,1.488E-08,8.184057705,0.048875511,
67,0.4,50,1,0.208333333,88.26,6.2,1.488E-08,11.93422426,0.033517051,
68,0.4,50,2,0.25,76.21,6.4,1.536E-08,10.43829652,0.038320429,
69,0.4,50,3,0.25,91.02,6.5,1.56E-08,12.69189508,0.031516176,
73,0.6,0.1,1,0.333333333,24.97,7.1,1.704E-08,3.313207657,0.181093388,
74,0.6,0.1,2,0.375,26,7.2,1.728E-08,3.414773668,0.175707106,
75,0.6,0.1,3,0.291666667,44.04,7.1,1.704E-08,6.129234698,0.097891504,
79,0.6,1,1,0.291666667,44.8,7.1,1.704E-08,6.23794774,0.09618548,
80,0.6,1,2,0.291666667,59.54,7.8,1.872E-08,9.169293934,0.065435791,
81,0.6,1,3,0.25,58.64,7.5,0.000000018,8.904944833,0.067378295,
85,0.6,5,1,0.25,66.34,7.3,1.752E-08,9.828609126,0.061046277,
86,0.6,5,2,0.25,64.23,7.3,1.752E-08,9.510429487,0.063088633,
87,0.6,5,3,0.291666667,61.23,7.4,1.776E-08,8.951031721,0.067031379,
91,0.6,10,1,0.25,79.23,7.1,1.704E-08,11.44983936,0.052402482,
92,0.6,10,2,0.25,71.23,7.2,1.728E-08,10.421262,0.057574601,
93,0.6,10,3,0.25,71.69,7.1,1.704E-08,10.34398798,0.058004708,
97,0.6,25,1,0.25,79.85,7.2,1.728E-08,11.70331752,0.051267514,
98,0.6,25,2,0.25,81.26,7.1,1.704E-08,11.74756858,0.051074399,
99,0.6,25,3,0.25,89.91,7.2,1.728E-08,13.19954472,0.045456113,
103,0.6,50,1,0.25,85.56,7.3,1.752E-08,12.72690897,0.047144205,
104,0.6,50,2,0.208333333,88.21,7.4,1.776E-08,13.6476812,0.043963512,
105,0.6,50,3,0.25,90.02,7.2,1.728E-08,13.21590506,0.045399842,
